Cloud Altitude,Release Mass,Cloud Age,Diffusion Coefficient,Transmitter Frequency,Transmitter Power,Transmitter Gain,Receiver Gain,Distance,Windspeed,Solar Angle,Kp Index,Cloud Radius,Electron Density,Critical Frequency,Received Power,Signal to Noise Ratio,Delay Spread,Doppler Shift,Bit Error Rate
101,0.008274989,4784.913348,1.051461236,48239807.73,47.30290547,13.57339051,6.532141385,610640.202,45.364821,69.6300096,8.819240209,141.8612125,3.13467E+13,50389341730,-58.07957086,41.92042914,0.472870708,7.294634142,0
148,0.035330206,3937.053178,3.42477463,76286695.21,12.95764532,7.733459171,13.43440697,237276.0858,27.65698617,68.51082019,3.891875785,232.2371188,3.05047E+13,49707980089,-87.13273295,12.86726705,0.774123729,7.032866914,2.47E-10
141,0.026767388,5010.246523,3.081106602,295782954.4,22.23166441,10.06396189,14.24861414,930966.1988,39.3738464,86.7233705,6.102345403,248.4922827,1.88661E+13,39091660867,-98.35808967,1.641910329,0.828307609,38.82037538,0.043773433
110,0.031766167,1797.012982,1.530847777,156507676.4,38.77995601,1.007592553,10.7822602,461349.9302,46.21189162,5.257024271,5.64954782,104.8990625,2.97623E+14,1.55266E+11,-82.70570229,17.29429771,0.349663542,24.10838594,1.95E-25
109,0.009824348,2717.827641,1.454562418,264183286.3,40.77872248,0.811732017,5.615278362,208479.3191,8.156755729,31.12014322,0.938731958,125.7497506,5.34316E+13,65787238747,-83.71782251,16.28217749,0.419165835,7.182928446,1.52E-20
109,0.010587293,77.01610206,1.458511275,259163166,90.96266948,8.797016581,12.30086685,774595.2417,21.39372419,42.88982236,6.731347834,21.19706142,1.20E+16,9.86801E+11,-30.09659812,69.90340188,0.070656871,18.48155098,0
115,0.002074866,38.56401385,1.760605607,168110280.5,76.76316183,13.30944016,0.388006226,258193.8038,21.66052009,27.87871756,2.908432831,16.47980813,5.0136E+15,6.37261E+11,-38.39438255,61.60561745,0.054932694,12.13785369,0
126,0.016103377,1297.443624,2.311891079,220805681.3,97.49646714,7.927230014,1.541188658,186352.8113,17.72361252,27.88105623,7.190455943,109.536265,1.32513E+14,1.03603E+11,-21.42622704,78.57377296,0.365120883,13.04491446,0
121,0.027987233,545.2580574,2.079862547,82043042.81,63.91643593,13.16728759,9.920606046,584728.4717,0.445293328,15.8515746,5.468767044,67.35166848,9.90674E+14,2.83275E+11,-42.71977944,57.28022056,0.224505562,0.121777398,0
114,0.042896746,1405.881175,1.72807285,215867110.3,31.75423589,12.1648691,4.368728629,687920.4925,40.79860539,73.16562627,2.85382341,98.57920857,4.84266E+14,1.98054E+11,-91.25084988,8.749150117,0.328597362,29.3569235,5.39E-05
130,0.033346372,956.8567472,2.529632237,103543836.4,39.48895269,1.137806787,14.27079328,591084.6036,5.577966078,81.72621399,3.206636643,98.39706649,3.78545E+14,1.75106E+11,-76.94211423,23.05788577,0.327990222,1.925213357,3.02E-90
106,0.021769816,154.9796141,1.348734652,254656766.1,38.7852331,3.029362116,6.540909181,673685.1165,49.7740299,7.409462361,6.583566327,28.91548899,9.73821E+15,8.88141E+11,-92.43692805,7.563071946,0.096384963,42.2509783,0.000364983
114,0.047656006,4910.333086,1.730361621,52605515.94,39.38448949,9.865660037,6.440472306,159747.8117,38.6479246,13.94090206,4.950533836,184.3545706,8.22568E+13,81625985243,-58.90289121,41.09710879,0.614515235,6.776980044,0
118,0.03596226,45.39668637,1.915904608,238747441.7,70.56677558,6.652520738,10.17119265,502217.136,29.00050088,20.56076999,6.015159366,18.6521549,5.99E+16,2.20333E+12,-50.2903051,49.7096949,0.06217385,23.07931798,0
122,0.04650826,3975.107497,2.140174961,56982964.77,57.77271353,4.360497205,11.51352843,389167.7119,7.730320887,45.80887355,1.42486489,184.4714128,8.01233E+13,80560456100,-49.37508668,50.62491332,0.614904709,1.468322009,0
139,0.026379399,822.4464415,2.962939903,267921094,44.68817603,6.279507841,7.133381072,974700.1854,25.76964857,71.205483,7.08279005,98.72911181,2.96446E+14,1.54958E+11,-86.34068319,13.65931681,0.329097039,23.01410812,4.71E-12
109,0.012945214,4926.127729,1.499184455,112135219.9,23.41807919,6.677994694,3.210013526,97142.73747,13.05543704,6.430997229,2.88352187,171.8740715,2.75736E+13,47259546034,-83.54114913,16.45885087,0.572913572,4.879914345,2.55E-21
125,0.002641334,4821.205278,2.285586096,206686208.5,11.99252466,13.65828376,11.59962964,333379.4929,12.61612623,57.31316871,5.578751404,209.9455144,3.08688E+12,15812562951,-95.61875854,4.381241465,0.699818381,8.691930986,0.009591718
129,0.036304243,3531.412289,2.481036422,161625615.2,29.69512098,1.551874256,4.805269123,944769.0844,41.47646247,13.44019106,1.032118427,187.206437,5.98427E+13,69622241971,-103.7286419,-3.728641927,0.624021457,22.34552921,0.178623047
102,0.00606515,3630.392175,1.116126032,128901849.2,19.67242636,4.195961202,2.626661539,984321.374,19.0322212,87.43113611,2.89278217,127.3102543,3.17883E+13,50743003715,-111.6770612,-11.67706117,0.424367514,8.177628357,0.356179218
130,0.015138756,29.82602749,2.51886213,204269295,80.69005278,8.063472249,9.474602849,833656.5273,22.53619017,80.88960878,5.839805638,17.33524169,3.14E+16,1.59551E+12,-42.49986602,57.50013398,0.057784139,15.34483892,0
108,0.026623545,5318.321585,1.426310309,285831204.7,20.1248162,10.4743039,1.356805005,122198.3318,42.14823689,85.46245641,2.467855191,174.1904349,5.44765E+13,66427356470,-95.01176223,4.988237768,0.580634783,40.15760443,0.006011584
103,0.028220829,4740.418227,1.162628982,41142831.79,75.18054136,9.459559334,14.57029013,583287.2769,4.389531286,9.554748982,7.922809771,148.4769022,9.32415E+13,86905451534,-24.49733185,75.50266815,0.494923007,0.601992491,0
147,0.03002916,4833.678513,3.372213843,278090271.1,44.70928208,14.12464107,9.485958966,430116.843,29.73089265,43.92327446,5.951055595,255.3444544,1.95065E+13,39749569192,-69.33975179,30.66024821,0.851148181,27.55957333,0
148,0.008312767,3560.261256,3.414080083,194452046.9,16.60405508,11.93413387,14.78843281,816129.9393,28.91078407,14.87219103,7.83250554,220.4995877,8.38568E+12,26062231566,-96.78900382,3.210996183,0.734998626,18.73920379,0.020341317
140,0.01898687,1862.504628,3.02099337,247974861.2,83.14570445,8.35615263,5.083401352,102273.0238,21.26072846,54.03199957,3.55851632,150.0215202,6.08147E+13,70185407964,-27.60230561,72.39769439,0.500071734,17.57375397,0
115,0.030859711,4825.809056,1.761534423,133646237.4,62.16675132,3.220240375,14.56807742,237272.3141,41.48873207,20.94652014,0.305866284,184.3998782,5.32263E+13,65660693513,-46.17319593,53.82680407,0.614666261,18.48270979,0
104,0.048490943,1574.899895,1.244180285,157397603.2,31.21853616,6.763113471,2.183433716,514735.3129,47.14450307,69.3567885,5.18525967,88.53156274,7.55757E+14,2.47419E+11,-94.11074722,5.889252777,0.295105209,24.73477262,0.002668327
134,0.036381557,3039.079623,2.710582566,264589703,90.52130569,10.40073366,0.610421585,199765.2798,23.2667931,57.96023406,3.052741525,181.5232904,6.5781E+13,72994911699,-29.033587,70.966413,0.605077635,20.52051292,0
122,0.046130188,539.4475197,2.100381234,142008951.8,14.07324825,12.56943262,0.494760907,708079.3856,22.80735255,51.44441349,4.033695383,67.32148089,1.63508E+15,3.63926E+11,-109.0147007,-9.014700678,0.224404936,10.79616077,0.308209008
106,0.038110603,4978.638447,1.305095587,174358083,28.16376474,14.39604337,6.973055559,829728.8601,25.10318648,74.27044422,6.129991925,161.2153723,9.83654E+13,89261404158,-89.77889097,10.22110903,0.537384574,14.58981158,2.24E-06
124,0.029585848,761.0197015,2.237942275,35452629.23,77.6842235,9.081791492,1.245062962,719293.8989,36.15620154,45.02457278,6.305982004,82.53770441,5.6904E+14,2.14691E+11,-36.22420755,63.77579245,0.275125681,4.272774692,0
101,0.009601168,1215.217854,1.085971303,72821461.58,73.84401373,7.90379051,7.682518263,468269.528,33.40301453,24.28665663,0.248007734,72.65512277,2.70733E+14,1.48086E+11,-37.32897228,62.67102772,0.242183743,8.108187798,0
145,0.033334283,3014.36632,3.273301005,203255357.2,36.03445244,0.265378847,4.912507553,884468.2829,11.14174746,55.86349471,6.923724056,198.6648263,4.59774E+13,61025952134,-99.98633546,0.013664541,0.662216088,7.548732865,0.07832334
112,0.031168978,4126.338108,1.646949954,223583763.3,15.58223878,1.081486037,5.034434887,180801.8251,3.19476743,86.1356369,4.441670235,164.8741624,7.52109E+13,78051788742,-106.5388907,-6.538890733,0.549580541,2.380993749,0.252658384
133,0.030123459,3344.877701,2.656305711,187302252.9,87.2270265,2.341574965,9.534134948,297321.6547,47.46270649,54.1043427,5.01028896,188.5207441,4.86232E+13,62757289612,-31.91684343,68.08315657,0.62840248,29.63290619,0
115,0.024489293,1254.290995,1.77927769,68693709.79,38.23278743,0.821398968,2.446470092,515062.701,13.05348799,56.66575041,2.681947667,94.48242132,3.14007E+14,1.59482E+11,-85.57907395,14.42092605,0.314941404,2.988975052,5.04E-14
126,0.02643283,6.091486606,2.300170053,150259465.7,27.61420734,6.012948582,11.49830056,108271.6689,31.92983423,84.12756131,3.787504074,7.486375643,6.81E+17,7.42874E+12,-75.20586595,24.79413405,0.024954585,15.99253277,1.71E-133
127,0.016722126,4088.855983,2.366775698,125875586.9,56.44556401,5.053178177,8.730463797,140901.4925,41.42190014,46.37475903,6.393376206,196.7476046,2.37454E+13,43856306231,-50.85212505,49.14787495,0.655825349,17.38001997,0
109,0.025965635,5320.134353,1.462136139,163828562.9,91.92044794,9.560312368,13.72416943,427571.2031,15.01383753,89.67217155,6.990424226,176.3945657,5.11634E+13,64375727406,-17.80722065,82.19277935,0.587981886,8.198984752,0
148,0.009877795,4373.720937,3.423961569,264988839.3,13.91919201,8.034976619,5.472609807,946691.9819,31.77167068,14.36958392,3.483955631,244.7484619,7.28645E+12,24294084308,-116.6661362,-16.6661362,0.815828206,28.06379379,0.417774228
138,0.04025872,2485.655531,2.937832058,239482588.4,78.92236792,8.939561391,14.74072488,912993.0086,5.395012057,48.33358587,6.220057794,170.9086131,8.72136E+13,84049384278,-40.29636271,59.70363729,0.569695377,4.306704841,0
146,0.009288848,4880.439444,3.348747354,52677165.38,61.52259051,7.079658044,8.637414701,492676.1154,48.49657222,19.16107569,2.322391515,255.6822925,6.01002E+12,22063805734,-47.14820385,52.85179615,0.852274308,8.51553985,0
144,0.004248314,2213.767587,3.237068376,270383483.4,48.29042049,4.166057228,14.60102934,185050.6173,2.907913753,40.79937315,7.488203987,169.3058422,9.4671E+12,27691781331,-63.03209588,36.96790412,0.564352807,2.620839499,0
129,0.021812301,2835.119121,2.494749947,157377130.8,76.96723997,14.29237972,0.405909811,219202.2732,21.90873369,15.35165186,5.48832815,168.201228,4.95713E+13,63366173398,-35.19439303,64.80560697,0.56067076,11.49311216,0
146,0.032915372,2577.023614,3.304685588,230842779.1,96.9241982,1.296137396,10.91964484,408668.7519,26.8409621,20.02758944,6.976678645,184.5670913,5.66177E+13,67720235901,-26.45796308,73.54203692,0.615223638,20.65347429,0
104,0.021885841,2417.721289,1.221231255,67810592.44,30.628559,14.08336499,12.24932286,249570.4853,39.52408893,18.97200447,4.294393671,108.6756054,1.84409E+14,1.22218E+11,-63.71275738,36.28724262,0.362252018,8.933839621,0
109,0.013837707,4186.254963,1.489957156,211094271.9,22.92826286,4.668570703,0.7975993,128826.8147,6.056425854,28.80282051,2.061983565,157.9536709,3.79744E+13,55461032969,-96.39941049,3.600589509,0.526512236,4.261589354,0.016151374
102,0.027908559,2845.02533,1.113068222,93808024.75,92.15935707,7.689921681,8.68454496,690088.6093,22.04039869,12.11445311,3.86308002,112.5470086,2.11715E+14,1.30954E+11,-23.7932623,76.2067377,0.375156695,6.891887554,0
116,0.017350117,1710.955742,1.813325827,148362842.2,70.20577697,1.632634842,12.0291344,602376.2059,14.98557848,72.84079575,3.43336855,111.4005428,1.35724E+14,1.04851E+11,-51.26050185,48.73949815,0.371335143,7.411010051,0
119,0.046643385,1394.795947,1.971693224,34552974.92,49.41874194,1.063966026,8.415580878,326731.9201,15.60053578,19.86080376,2.994448891,104.882977,4.37211E+14,1.88186E+11,-58.25944035,41.74055965,0.349609923,1.796816406,0
113,0.046132257,204.7977643,1.678372579,70934872.24,61.59336132,6.443181731,0.957203856,790000.9634,38.9393958,37.49120956,1.90956373,37.07974929,9.78611E+15,8.90323E+11,-62.08019032,37.91980968,0.123599164,9.207203555,0
141,0.025118591,3149.670679,3.071843773,54861733.14,77.10525147,11.12546065,10.40170861,787151.4433,0.273047252,1.445142441,6.832504277,196.7261677,3.568E+13,53759462773,-30.17832466,69.82167534,0.655753892,0.049932818,0
117,0.0163942,1242.561682,1.891883317,94730926.69,79.57287088,4.040471663,0.90895372,516451.8717,37.45418207,9.439338895,0.777164952,96.96972137,1.94445E+14,1.25499E+11,-45.37232556,54.62767444,0.323232405,11.82689792,0
114,0.036856621,800.775045,1.702336274,57004884.31,92.79047627,8.435218334,12.26203343,141705.9277,40.51992151,80.66447104,7.988048369,73.84276286,9.89937E+14,2.83169E+11,-0.762462692,99.23753731,0.246142543,7.699444792,0
127,0.001835647,3531.027975,2.356740208,216815707.2,48.415851,4.179755108,0.64551275,922545.9301,45.06811219,75.34441835,1.575222506,182.4468756,3.26886E+12,16271981426,-88.88464491,11.11535509,0.608156252,32.57158206,1.84E-07
107,0.02373845,3678.848783,1.352310562,37840773.6,36.4069819,5.829195913,2.060960715,685227.4974,31.34409016,75.68302072,8.818862867,141.0665952,9.14525E+13,86067737422,-80.08294624,19.91705376,0.470221984,3.953615398,6.99E-45
140,0.01681617,4061.884263,3.005492452,196789935.2,67.56978401,13.59669478,4.126613858,284698.2782,16.67276641,37.02180755,8.896212433,220.9792976,1.68534E+13,36947634445,-45.77885082,54.22114918,0.736597659,10.93677541,0
103,0.046026794,2719.811663,1.186376609,67991114.32,47.41551094,12.83759438,9.500471884,629931.8197,21.36173663,12.7377719,3.585483371,113.6084669,3.39465E+14,1.65821E+11,-58.98552591,41.01447409,0.37869489,4.841360924,0
149,0.000600151,4828.000813,3.467217342,285193593.4,63.51386086,7.740263151,14.64538649,434770.421,48.48680411,9.710506934,8.890389654,258.7642027,3.74597E+11,5508388781,-52.0726736,47.9273264,0.862547342,46.093753,0
138,0.027640744,5056.314526,2.930611923,281935399.7,47.79872186,3.571584412,1.767342789,653582.1577,44.05934132,54.50424523,7.821616656,243.459201,2.07151E+13,40962462293,-88.27553588,11.72446412,0.81153067,41.40629336,2.46E-08
109,0.037033179,4359.995704,1.496789204,90885837.68,23.7696208,2.897758691,2.140615038,500177.3509,23.17629545,74.53739294,0.741872493,161.5672553,9.49614E+13,87703304479,-100.4485992,-0.448599199,0.538557518,7.021323423,0.089631468
100,0.024250899,3432.569209,1.013805293,195893750.5,52.24840765,14.3113103,5.533055951,511198.5427,47.15315036,81.01030339,8.525957073,117.9823179,1.59696E+14,1.13734E+11,-64.02361887,35.97638113,0.393274393,30.79002491,0
140,0.004270152,1640.789428,3.038653571,37561436.26,72.18260397,3.040748948,12.54328707,749087.9873,41.14774377,25.98584855,0.382629473,141.2202628,1.63971E+13,36444047137,-37.32304947,62.67695053,0.470734209,5.151894516,0
135,0.04862307,5307.919632,2.76714336,281582906.6,81.93554269,12.12252466,7.008464291,633039.4588,45.05449308,28.89239129,1.637228644,242.3862584,3.69262E+13,54690220494,-40.05839873,59.94160127,0.807954195,42.28858373,0
136,0.025900522,1481.061167,2.82251792,171206573.2,54.39936491,5.534553143,4.824159004,125955.0567,34.14886173,9.078899118,5.261359868,129.3108145,1.29545E+14,1.02436E+11,-58.02083279,41.97916721,0.431036048,19.48836532,0
138,0.030709312,1095.144722,2.928175867,41670250.88,24.87141012,14.78489771,8.418057483,112104.8919,42.88270217,69.69688103,0.726634606,113.2568116,2.28609E+14,1.36078E+11,-61.41883727,38.58116273,0.377522705,5.956443194,0
103,0.011830489,2388.19006,1.185111629,122474998.1,47.32189387,5.522336105,3.907847962,339758.7756,44.58830707,24.8121244,1.455549813,106.400598,1.06215E+14,92754657864,-71.73647355,28.26352645,0.35466866,18.20317608,7.47E-294
117,0.024174904,307.8822413,1.896164321,50749354.7,80.7664536,5.272749374,6.017398609,458733.6967,4.600829227,43.28365226,8.581426084,48.32371348,2.31686E+15,4.33204E+11,-31.38741077,68.61258923,0.161079045,0.778297048,0
105,0.021457475,5283.891615,1.289672649,136094998.6,47.15733436,9.561954433,4.989077238,311461.4312,48.26084883,83.60075741,8.952190964,165.0998546,5.15649E+13,64627855901,-66.94075178,33.05924822,0.550332849,21.89353385,0
143,0.003744792,3177.952771,3.157758565,210880112.4,72.68777142,14.4227521,12.06211534,668886.8652,16.68065494,67.69941573,7.183228876,200.3517665,5.03575E+12,20196428327,-39.91931598,60.08068402,0.667839222,11.72539463,0
131,0.005308018,3007.984343,2.558245317,156870275.2,55.64923135,14.64314409,13.8638359,235352.5351,21.99497548,4.746410666,4.636884523,175.4441434,1.063E+13,29343259064,-43.29316845,56.70683155,0.584813811,11.50119285,0
116,0.041873626,3541.644115,1.827245062,133604987.2,31.71008126,10.6080922,11.39358288,718934.0416,39.59518796,0.733913501,8.102708421,160.8906675,1.08734E+14,93847884030,-82.04266701,17.95733299,0.536302225,17.63371527,2.60E-29
103,0.011990998,2684.430674,1.158895876,62172402.3,81.65354572,11.31909548,6.58625364,784493.2048,33.24481528,70.86671333,1.007088938,111.5522413,9.34192E+13,86988268777,-30.30903084,69.69096916,0.371840804,6.889700099,0
115,0.009747914,174.1109288,1.777455804,96133542.34,17.57921087,8.45103264,7.565024662,168103.3422,44.65299562,49.72502133,8.486026823,35.18377359,2.42047E+15,4.42785E+11,-86.6779467,13.3220533,0.117279245,14.30883548,2.77E-11
116,0.025245573,3306.868648,1.812958305,57038687.69,57.24012545,11.33663609,1.876105409,668265.9312,20.02868754,64.83009684,3.163976347,154.8575472,7.35198E+13,77169294304,-57.27369897,42.72630103,0.516191824,3.808033511,0
136,0.038437357,3867.622762,2.824015446,248024657.5,28.80019308,12.89669482,11.20297067,963364.1771,18.66440818,14.11337896,7.753404521,209.0189122,4.55211E+13,60722390705,-90.77003746,9.229962542,0.696729707,15.43077816,2.13E-05
131,0.003097326,2251.028178,2.593893678,66514753.56,16.03590657,7.291429548,8.947135191,233182.6264,1.584442477,78.4843065,6.015360654,152.8257539,9.38454E+12,27570783910,-87.64200121,12.35799879,0.50941918,0.351296003,2.22E-09
144,0.028840396,4089.638794,3.218031856,190750809,55.26405434,9.297933942,13.53659994,913837.6896,23.13626883,69.59924811,8.642468737,229.4392113,2.58234E+13,45735099514,-62.83230986,37.16769014,0.764797371,14.71087332,0
123,0.005960522,1226.580015,2.180537313,122539911.7,54.96059403,8.059750428,3.009167154,625745.5518,36.20353852,80.17550226,7.78210153,103.4331376,5.82534E+13,68691513366,-67.76818406,32.23181594,0.344777125,14.78792804,0
105,0.001823053,1195.672315,1.298985615,91014163.86,73.62108115,8.437059203,11.39589183,611397.624,15.05893588,30.69864744,7.991080322,78.82033082,4.02625E+13,57107440147,-37.55881142,62.44118858,0.262734436,4.568588193,0
135,0.002637198,872.4903165,2.783111968,202656478.7,77.02756237,13.35071865,10.27007493,99326.5482,23.13632568,24.81346758,5.685789205,98.55431481,2.97942E+13,49125654866,-21.53234976,78.46765024,0.328514383,15.62908764,0
138,0.041708205,2009.399708,2.901962622,153390623.5,75.50123398,5.334252453,3.987683007,760885.2645,10.96988842,13.65582959,7.498426779,152.724626,1.26622E+14,1.01274E+11,-52.62337928,47.37662072,0.509082087,5.608926752,0
128,0.005898624,4574.017979,2.403192994,138039276.2,46.86028596,3.122760384,10.01067959,504359.4,38.63939029,83.70796572,6.814180357,209.6878438,6.91906E+12,23673690363,-72.96531891,27.03468109,0.698959479,17.77917823,4.90E-222
138,0.002257568,4470.897224,2.92741795,190070041.3,66.85208085,6.844201654,13.86560071,735115.6722,3.025578067,15.91462832,1.454608178,228.8072095,2.0382E+12,12848912306,-51.4476928,48.5523072,0.762690698,1.916905827,0
124,0.021894994,2067.867899,2.234488991,162642259.7,61.92507184,3.121277857,13.77653982,818722.0483,35.26915275,10.73855103,5.837372022,135.9504035,9.42365E+13,87367950459,-59.7686972,40.2313028,0.453168012,19.120849,0
126,0.042199674,3181.652056,2.306832073,111940736.3,47.94055805,7.476006385,10.79439862,547606.5547,18.94700059,17.34103881,1.333579919,171.3421957,9.07261E+13,85725205409,-65.64236189,34.35763811,0.571140652,7.069803989,0
121,0.013120419,3892.687293,2.068852546,180946547.7,63.74914248,13.55262158,0.721096688,300462.0976,2.079803469,69.42435541,7.825105097,179.481431,2.45417E+13,44585644069,-52.78812818,47.21187182,0.598271437,1.254444192,0
101,0.021085631,1303.275376,1.063547817,210764615.7,95.2523089,9.261502807,13.08396506,184493.8668,42.67347936,80.05763115,0.593548194,74.4606119,5.52361E+14,2.11521E+11,-10.30200491,89.69799509,0.24820204,29.98019826,0
105,0.001996127,908.7937227,1.269728567,37207152.82,27.36043693,12.8314928,9.866679105,202477.9715,24.38609316,72.98221108,8.883420032,67.93883578,6.88414E+13,74673648988,-63.58566455,36.41433545,0.226462786,3.024456983,0
101,0.022453926,5249.346267,1.078572964,155785366.8,91.51948862,2.492863794,4.656513798,873587.9212,29.96594848,50.69146976,3.605639995,150.4899062,7.12502E+13,75968852086,-40.11198842,59.88801158,0.501633021,15.56085425,0
131,0.028880654,3335.191934,2.591026028,45574486.84,14.81099626,13.51310389,2.808755426,167399.1908,36.60153458,89.44958257,1.535664183,185.9200808,4.86009E+13,62742893545,-82.62083626,17.37916374,0.619733603,5.560320519,6.69E-26
115,0.028545353,5299.663482,1.785889953,80329461.8,37.75502916,9.026807466,1.743057945,415459.3694,32.75372165,6.196865804,8.421074853,194.5725136,4.1909E+13,58263417216,-78.04736272,21.95263728,0.648575045,8.770296107,1.85E-70
125,0.016621335,1824.544575,2.271426728,181337358.2,35.93307238,0.476396831,0.753553489,367560.914,36.54284354,78.047251,0.408833876,128.7527757,8.42194E+13,82594005065,-95.41749845,4.582501551,0.429175919,22.08860903,0.008268443
145,0.015776659,3796.668148,3.268916185,263871007.1,66.37285971,9.496784329,11.31154872,872182.8834,38.11408423,38.49424755,4.230950711,222.8092454,1.54252E+13,35347458125,-56.16298092,43.83701908,0.742697485,33.52400597,0
112,0.005331181,1202.837034,1.623230573,268357533.4,21.81024566,14.27095434,3.537644984,503808.8257,29.45757653,40.96101138,6.932044151,88.37379356,8.35351E+13,82257772534,-99.10493526,0.895064738,0.294579312,26.35054192,0.058473357
120,0.018339916,1411.219725,2.025957308,48884882.74,89.41128507,1.187505007,0.363794041,996624.0965,18.28189155,11.48354043,2.850754279,106.9405613,1.62176E+14,1.14613E+11,-38.89572411,61.10427589,0.356468538,2.979027081,0
137,0.004974733,2764.759553,2.888877846,143158373.3,84.56962676,8.736841957,5.959059778,750202.009,12.15710749,3.008967692,4.759512029,178.7406235,9.42141E+12,27624885418,-37.45856006,62.54143994,0.595802078,5.801305772,0
111,0.038329797,1726.61826,1.571995414,187411750.4,68.68592377,13.73217904,7.239106209,858377.3966,45.14516183,28.49654935,6.303717147,104.1966599,3.6643E+14,1.72281E+11,-50.57648177,49.42351823,0.3473222,28.20244601,0
103,0.048313715,905.9888232,1.192449775,69708874.23,51.25724486,0.145427525,2.538453464,143738.6527,48.49624223,15.73681798,8.567787789,65.73723961,1.8393E+15,3.85983E+11,-62.18029593,37.81970407,0.219124132,11.26872817,0
114,0.048503723,1420.29291,1.724378632,236666698.5,93.96604379,9.463693897,0.660725042,290447.1425,17.88313775,43.50048805,0.924323753,98.97722457,5.40985E+14,2.09332E+11,-28.75781148,71.24218852,0.329924082,14.10781057,0
108,0.043253555,194.0055817,1.403053218,230943519.8,84.76718992,7.123534377,2.836882246,178673.8858,5.615536454,13.25974734,1.415040333,32.996979,1.30E+16,1.02695E+12,-33.68791971,66.31208029,0.10998993,4.322905847,0
146,0.030039607,3804.183132,3.324244131,273902073.7,54.93836333,5.20483978,10.18654143,490440.8738,11.12686636,12.41349629,4.579838057,224.9091679,2.85554E+13,48093553714,-68.33808402,31.66191598,0.749697226,10.1589059,0
140,0.035043285,2657.937832,3.020300949,32291223.26,73.1686019,9.413047349,1.233655159,732373.1138,33.5333673,78.92810857,3.76627465,179.1956713,6.58625E+13,73040142723,-39.76522239,60.23477761,0.597318904,3.609444834,0
131,0.01426029,509.8183155,2.583509391,88504745.88,61.0236957,0.790531419,8.325555458,210610.3898,8.646668498,82.91652312,3.697165446,72.58430701,4.03289E+14,1.80738E+11,-51.37333345,48.62666655,0.24194769,2.550903994,0
143,0.031538521,927.9758689,3.178651475,253340412.8,62.91480145,11.29594569,2.196179819,173660.1173,39.00611365,86.77945877,2.672653526,108.6224998,2.66132E+14,1.46822E+11,-52.56535331,47.43464669,0.362074999,32.93941645,0
140,0.022782477,554.5839713,3.009180192,211056613.7,39.78784625,0.067192154,2.935337604,633878.3113,46.15151199,61.24521986,5.046163187,81.70295224,4.51756E+14,1.91291E+11,-95.84191016,4.158089844,0.272343174,32.46860613,0.01122857
